emp_id,item_code,sales_year,sales_week,quantity
EMP244,PROD_001,2020,W0,42
EMP244,PROD_001,2020,W1,48
EMP244,PROD_001,2020,W2,38
EMP244,PROD_001,2020,W3,43
EMP244,PROD_001,2020,W4,35
EMP244,PROD_001,2020,W5,39
EMP244,PROD_001,2020,W6,36
EMP244,PROD_001,2020,W7,38
EMP244,PROD_001,2020,W8,49
EMP244,PROD_001,2020,W9,46
EMP244,PROD_001,2020,W10,44
EMP244,PROD_001,2020,W11,25
EMP244,PROD_001,2020,W12,43
EMP244,PROD_001,2020,W13,38
EMP244,PROD_001,2020,W14,34
EMP244,PROD_001,2020,W15,48
EMP244,PROD_001,2020,W16,52
EMP244,PROD_001,2020,W17,67
EMP244,PROD_001,2020,W18,52
EMP244,PROD_001,2020,W19,45
EMP244,PROD_001,2020,W20,64
EMP244,PROD_001,2020,W21,49
EMP244,PROD_001,2020,W22,48
EMP244,PROD_001,2020,W23,72
EMP244,PROD_001,2020,W24,64
EMP244,PROD_001,2020,W25,64
EMP244,PROD_001,2020,W26,30
EMP244,PROD_001,2020,W27,25
EMP244,PROD_001,2020,W28,43
EMP244,PROD_001,2020,W29,23
EMP244,PROD_001,2020,W30,29
EMP244,PROD_001,2020,W31,30
EMP244,PROD_001,2020,W32,31
EMP244,PROD_001,2020,W33,28
EMP244,PROD_001,2020,W34,34
EMP244,PROD_001,2020,W35,34
EMP244,PROD_001,2020,W36,36
EMP244,PROD_001,2020,W37,47
EMP244,PROD_001,2020,W38,24
EMP244,PROD_001,2020,W39,35
EMP244,PROD_001,2020,W40,47
EMP244,PROD_001,2020,W41,34
EMP244,PROD_001,2020,W42,46
EMP244,PROD_001,2020,W43,41
EMP244,PROD_001,2020,W44,34
EMP244,PROD_001,2020,W45,39
EMP244,PROD_001,2020,W46,44
EMP244,PROD_001,2020,W47,46
EMP244,PROD_001,2020,W48,46
EMP244,PROD_001,2020,W49,41
EMP244,PROD_001,2020,W50,57
EMP244,PROD_001,2020,W51,73
EMP244,PROD_001,2019,W0,35
EMP244,PROD_001,2019,W1,34
EMP244,PROD_001,2019,W2,40
EMP244,PROD_001,2019,W3,36
EMP244,PROD_001,2019,W4,45
EMP244,PROD_001,2019,W5,37
EMP244,PROD_001,2019,W6,43
EMP244,PROD_001,2019,W7,47
EMP244,PROD_001,2019,W8,34
EMP244,PROD_001,2019,W9,39
EMP244,PROD_001,2019,W10,33
EMP244,PROD_001,2019,W11,41
EMP244,PROD_001,2019,W12,47
EMP244,PROD_001,2019,W13,40
EMP244,PROD_001,2019,W14,47
EMP244,PROD_001,2019,W15,53
EMP244,PROD_001,2019,W16,44
EMP244,PROD_001,2019,W17,39
EMP244,PROD_001,2019,W18,42
EMP244,PROD_001,2019,W19,41
EMP244,PROD_001,2019,W20,44
EMP244,PROD_001,2019,W21,51
EMP244,PROD_001,2019,W22,47
EMP244,PROD_001,2019,W23,44
EMP244,PROD_001,2019,W24,38
EMP244,PROD_001,2019,W25,32
EMP244,PROD_001,2019,W26,29
EMP244,PROD_001,2019,W27,41
EMP244,PROD_001,2019,W28,27
EMP244,PROD_001,2019,W29,21
EMP244,PROD_001,2019,W30,36
EMP244,PROD_001,2019,W31,27
EMP244,PROD_001,2019,W32,30
